	gt	ms_total	512-256	256-128	128-64	64-32	32-16	frac
0	97	0.13388352720994706	0.033120932788855056	0.02795129910140567	0.020241257847545657	0.0144877872316666	0.010445643284323444	0.09031695113676856
1	89	0.08617755385938439	0.018092998869105988	0.015829474080188415	0.012166991809328611	0.009432928403310616	0.007161180032064714	0.06092337495821369
2	98	0.18569823257224494	0.04162924972053768	0.03412997578172094	0.025873766089959095	0.020780549014325692	0.01733379418958151	0.12673518866212577
3	98	0.1415671003032377	0.03752752846960781	0.02752344607638369	0.020379427021186586	0.015191800537878785	0.011217441754749726	0.09282213007888016
4	44	0.07319537621303196	0.01739730320822711	0.012138788476873288	0.009731200537966847	0.00845674667915891	0.0077410659276571266	0.04805700707714773
5	8	0.06033285781582771	0.007733512518982789	0.00912276573937639	0.009325569713908166	0.009204245547314126	0.00912225259726887	0.043477092699576045
6	19	0.031935301303354174	0.007777673912202477	0.004188304668979971	0.0034226663365068324	0.0030738860322260895	0.002766581096521593	0.021391046294630102
7	8	0.029356065325407108	0.00513391310613832	0.003995103467348304	0.003590438823243422	0.0033289559918784897	0.0031026068070938236	0.021119545412174964
8	2	0.027425695502982177	0.004695806768359414	0.004053180154885768	0.003718575877913036	0.003670180840694542	0.003627170052793345	0.019102718681829417
9	28	0.05675505501333725	0.012296153664600011	0.008475446011678265	0.006970790228143879	0.006137079791977921	0.005594384537904204	0.038864516810833034
10	58	0.043214840974607135	0.016040905326952504	0.00821423517764073	0.004900949021898721	0.0032084828576529304	0.001997200758327609	0.02517673488932702
11	14	0.014770390055655332	0.0031573350936993845	0.0017764053071277993	0.0017838636707145329	0.0017553415608488278	0.0016933783058998401	0.009919676656056108
12	41	0.06820628649771912	0.01360859112251064	0.01038402681351671	0.007879584498469719	0.006420721100428869	0.005443929933314572	0.049153765441893905
13	17	0.12819157949773463	0.029296502758075875	0.023949867921969265	0.017984536887906088	0.01407579662299601	0.01067762966110741	0.08821744707855134
14	15	0.03145128195200312	0.009177691190635126	0.0034937138076707713	0.0035163478856124865	0.003229439380816884	0.0028305754147611227	0.01944301534660687
15	32	0.07341688176015121	0.01343923418602723	0.011107704956591986	0.008071732441748072	0.006297160051342701	0.005179740425601598	0.05479790714852238
16	45	0.04924538583655983	0.00979314331857751	0.009371950278939402	0.007553882123799819	0.005771426956869569	0.004416726290834645	0.03503551622714768
17	0	0.04336736021912377	0.007087196744785264	0.0066768053959895355	0.005776742975152393	0.005072201526605556	0.004503872917431667	0.03177629055690684
18	2	0.05474261586977029	0.007765241914424896	0.007884790002798058	0.007585880971798754	0.00738682377433579	0.007221934639318027	0.03975543931602737
19	3	0.07763074447906818	0.012676030558451417	0.010995598482919294	0.010648103393033242	0.01037853115136185	0.010092199067814044	0.05486251485280272
20	8	0.0951680637878027	0.03387771348378826	0.01238517820117856	0.0069631749803366295	0.0064272229083433	0.006661344287386312	0.05462900601662812
21	5	0.04829937541344141	0.0065089384143118875	0.0068645948764408824	0.00650255063091765	0.006143365645188717	0.005767215003123907	0.03602322199600561
22	60	0.08297373738880343	0.012660930551277184	0.014035495212987094	0.012658259903531859	0.01072930831781469	0.008767113072653668	0.06154569376487258
23	29	0.0887375342866531	0.02228921720595547	0.018777402441951984	0.012865811445686584	0.008892198854580582	0.006616195306355674	0.05983212177434195
24	26	0.09224171896729691	0.01959903454668288	0.019652033051784853	0.01367371382333292	0.00925073601512043	0.006590816283996585	0.06605186813661744
25	12	0.015630251063026252	0.00674928691135175	0.00258940477559877	0.0008714677409308012	0.00021212350578109253	0.00032860742556784937	0.008552356726106651
26	51	0.04559690663664544	0.006359516426184525	0.006620913011719605	0.005759326001122097	0.005427108204758112	0.0053109430359341596	0.03392644717452675
27	3	0.04981918078738072	0.00663157946686082	0.007347497245887957	0.00712893659284388	0.006960041441511161	0.0068100060024719284	0.036377595318047976
28	23	0.025983102969870435	0.004281518384029223	0.0039035913158871178	0.0033865099942279693	0.0030338736240817466	0.0026885135054086607	0.019013071080432552
29	77	0.10412666361595899	0.018954146894628852	0.01766998311727247	0.01384275335414652	0.011221550245506489	0.009448983700674785	0.07572353302065535
30	54	0.07190182937908304	0.010881967169841264	0.010570440057991274	0.008511173794767414	0.007007721268186928	0.005981391295859922	0.055038470913381855
31	77	0.10181252462812213	0.019124239690525083	0.018536774807423953	0.01439397540608341	0.011072631796837241	0.008767759375810973	0.07392052556178608
32	86	0.1252511343059606	0.029098001528122655	0.02468507508197297	0.01871940805559205	0.014068945046391335	0.010482354110830368	0.08567077866700758
33	36	0.06824447910796957	0.012789984827454155	0.011655494297180047	0.009760184951553267	0.008677938031310917	0.007907148886829696	0.04754734539368573
34	91	0.1372458797435014	0.03163553507316663	0.026853242451040794	0.02053612252184686	0.015642363644924648	0.012025047621273014	0.09358529704906174
35	25	0.07144445090069837	0.010374450055913293	0.01058776273767121	0.009891427590461988	0.009029465046674488	0.008327213697353146	0.05274278714743193
36	83	0.08063924584194518	0.015309797796468605	0.012049424333586179	0.010264383194019485	0.009065163452447799	0.008041652398358143	0.05728779564711844
37	26	0.04964006022623067	0.009094352781367611	0.008245928266187716	0.007102945052874974	0.006667218408091236	0.006517817084902873	0.03402789035996019
