	gt	ms_total
0	33	0.07060824024359087
1	77	0.09094344710160113
2	81	0.10430277929912424
3	28	0.022943094487775057
4	56	0.053438207136927186
5	83	0.08126496476921051
6	12	0.031165051555510328
7	41	0.09483591025609917
8	44	0.07770782778139815
9	57	0.03429719969461311
10	80	0.05079212512956327
11	0	0.018370654110881537
12	41	0.0473149936360974
13	45	0.04295031171495752
14	78	0.07371847089843166
15	36	0.06291915465081872
16	46	0.054573843685715606
17	46	0.03852102890337145
18	57	0.042974503039072444
19	52	0.05555768250117941
20	44	0.028681186671392314
21	18	0.0244781529294561
22	20	0.06180404566442233
23	16	0.04373854561252379
24	31	0.03675098647490053
25	55	0.08865933524100877
26	28	0.06472436859302237
27	63	0.07992316710214438
28	30	0.054858947519322264
29	47	0.06516117826815783
30	32	0.03116056048529685
31	68	0.06788444874751172
32	76	0.07309220196279906
33	7	0.022533217515091426
34	23	0.03954475374649977
35	59	0.054063964026728195
36	46	0.040733599166030136
37	71	0.0775100166327263
38	44	0.08617440395311766
39	64	0.053972662310456714
40	45	0.07377286326622677
41	71	0.08134158044955142
42	54	0.04086035462419981
43	65	0.1974286260230046
44	55	0.07857123302560387
45	21	0.01289612017308591
46	26	0.07832412767305773
47	100	0.056826426873676845
48	54	0.6454876095803472
49	62	0.07205988348645057
50	43	0.07620153107735372
51	35	0.05154528576355356
52	26	0.03373099006827849
53	83	0.0704462060693175
54	58	0.03446664258884051
55	8	0.013482790370384148
56	40	0.04776564012174709
57	27	0.021795046017208743
58	16	0.05834221635943948
59	23	0.03479610631147808
60	24	0.04541674057575246
61	27	0.11267807407352914
62	73	0.12678940258522353
63	9	0.7885925648877439
64	70	0.07561886989519669
65	71	0.06683737534132186
66	60	0.038221074598229134
67	61	0.06415044239908262
68	26	0.0285344593117296
69	76	0.06930607765814184
70	49	0.09097735701667849
71	57	0.04642297399495345
72	67	0.06849461123722615
73	44	0.0434859061693535
74	20	0.03153182454101379
75	45	0.04101161749794407
76	55	0.047451807069064704
77	87	0.07967225085858395
78	18	0.06918734200525233
79	16	0.04738543119771429
80	57	0.05474288750607975
81	47	0.051256711317182124
82	56	0.04478880874140662
83	49	0.026721293196439542
84	88	0.07714894857387126
85	40	0.03513352026769368
86	45	0.033371473578991236
87	64	0.05326451715326871
88	38	0.05658666397823165
89	63	0.05492797161968099
90	81	0.056907803094855824
91	48	0.029122379040097856
92	35	0.02736984428193438
93	65	0.05998100250052738
94	29	0.029990017125986913
95	20	0.029699497502037004
96	65	0.02658606153308316
97	49	0.07317524813827886
98	50	0.038260449808610826
99	46	0.04322439002212175
100	79	0.10832350422112992
101	50	0.06547856669424561
102	73	0.05680392120484359
103	17	0.013972646424446414
104	75	0.08499157504698589
105	25	0.511778586512217
106	59	0.05240121660774322
107	42	0.03234205245704043
108	17	0.0267105675646688
109	56	0.09569786386123251
110	48	0.04611121874935877
111	46	0.06589868986623294
112	65	0.05057522762570299
113	54	0.02721075026462194
114	39	0.019003688656738963
115	65	0.04827895890536882
116	11	0.025770561454707856
117	32	0.07183488750689826
118	59	0.02893202840696486
119	65	0.06759303973148238
120	21	0.023792406964412188
121	65	0.0994043074063418
122	87	0.04346719902605637
123	36	0.046762059909958804
124	19	0.038178530389542414
125	36	0.029148419693019203
126	41	0.055457029017739655
127	74	0.06535669668527734
128	38	0.04200945203116465
129	48	0.04193803024274271
130	42	0.0627573368083805
131	43	0.037586056286505264
132	51	0.05148312069510907
133	34	0.05132939682656983
134	23	0.044806198959098674
135	93	0.06328690435017659
136	37	0.0189929776830936
137	13	0.012931793130552866
138	48	0.022890070616523057
139	65	0.06733212878696189
140	81	0.04654854337407777
141	82	0.049252222457927874
142	19	0.04868333544585255
143	41	0.10706238994263466
144	21	0.013808797899121284
145	69	0.07397542205065923
146	16	0.032843144805840434
147	86	0.03130467356453528
148	48	0.07768356823777761
149	40	0.0702769515174626
150	27	0.05690655163653832
151	42	0.05583059003036789
152	30	0.016996370526970766
153	76	0.08230591553592333
154	58	0.06930022093334309
155	84	0.05439376028160237
156	25	0.036105697391923854
157	48	0.08275078941111243
158	63	0.05890620012809125
159	28	0.016870801396995684
160	23	0.024237183849447574
161	62	0.06414255927732472
162	40	0.04009301932812464
163	41	0.05157656195976229
164	11	0.07527152217688356
165	59	0.030540901416929195
166	51	0.11462064844021425
167	48	0.08501752914155829
168	2	0.0300028595321028
169	56	0.060364315159964606
170	15	0.019712916858187764
171	0	0.24821330471667336
172	54	0.04037896849944451
173	61	0.40242643843340653
174	33	0.03308587136889481
175	45	0.06996497835032402
176	18	0.02400877694123731
177	49	0.09013312157318742
178	72	0.08725837425771941
179	37	0.028787418333103606
180	26	0.01754248645840464
181	35	0.019785049294314135
182	64	0.04351205681777912
183	52	0.043192749242052984
184	21	0.05933922762314938
185	86	0.06344271848294845
186	37	0.04187126579423403
187	94	0.10850124467413295
188	43	0.045555998170682926
189	45	0.03358991686715281
190	66	0.06483738790277611
191	52	0.03919149884570353
192	36	0.03209705343296461
193	44	0.063003188874679
194	22	0.02965208999600022
195	68	0.052551958913156775
196	5	0.6272190545197407
197	22	0.05142271262649234
198	58	0.024533158037044284
199	16	0.04506427938674138
