	gt	ms_total	p1	p2	p3	p4	frac	local_max	local_min	2parts
0	97	0.04193952789272879	0.005365541503106824	0.005294741452165579	0.010919999057921674	0.020359245879534717	0.016214740510087252	1	2	0.06290929183909319
1	89	0.026178417805037487	0.003414520923351831	0.003108919852879958	0.00650106678695675	0.013153910241848943	0.009609986639836714	1	2	0.03926762670755623
2	98	0.04971576985278262	0.005781944458566506	0.006785086478683877	0.013412299148688323	0.023736439766843923	0.02019738562737219	1	1	0.04971576985278262
3	98	0.04045263277480727	0.007553861638740798	0.005165764007838368	0.009940438347425076	0.01779256878080304	0.015106202355263432	1	2	0.06067894916221091
4	44	0.026328290019961672	0.005540338095696683	0.0034809932406270378	0.006058355190522561	0.011248603493115392	0.009539348431149598	1	2	0.039492435029942506
5	8	0.010843660381682949	0.003003045126888428	0.0011978596791022403	0.002457463417370066	0.004185292158322217	0.0036553230964723044	1	2	0.016265490572524424
6	19	0.011176873232103436	0.003948983036643574	0.0013909019591802178	0.002126458048128784	0.0037105301881508596	0.003517360007309002	1	2	0.016765309848155153
7	8	0.00885718102837734	0.002933146775361489	0.0008674744044124355	0.0016689897847127907	0.003387570063890625	0.0025364641891252263	1	2	0.013285771542566011
8	2	0.007007086267892611	0.0031734756900464755	0.0009694570743923305	0.0013757181400340605	0.0014884353634197452	0.0023451752144263904	1	2	0.010510629401838917
9	28	0.01341262496579069	0.004917346771114374	0.0016219602030430817	0.00265064548592084	0.004222672505712393	0.004272605688963922	1	2	0.020118937448686036
10	58	0.016536172034578262	0.004873778926599515	0.002499199017288417	0.0037525477552670136	0.005410646335423317	0.006251746772555431	1	2	0.024804258051867395
11	14	0.006371419477326899	0.003025674570587953	0.0005874528753582543	0.0009258193223377018	0.001832472709042989	0.001513272197695957	1	2	0.009557129215990348
12	41	0.018410444861605223	0.0036576148292558636	0.0025223772561630297	0.004567720201126475	0.007662732575059856	0.007090097457289503	1	2	0.027615667292407834
13	17	0.03654627761679385	0.004276584571493204	0.0054352113859104335	0.01004056828947847	0.016793913369911737	0.015475779675388903	1	1	0.03654627761679385
14	15	0.011926793635191403	0.005184304955921075	0.0010433005171632057	0.0016141950674612357	0.004084993094645886	0.002657495584624442	1	2	0.017890190452787103
15	32	0.021589620031585727	0.003396759707879942	0.002735963262639168	0.0059227292531401285	0.00953416780792649	0.008658692515779297	1	2	0.03238443004737859
16	45	0.015503562206950297	0.0026796449631782773	0.0015824146959652488	0.0036129520703166635	0.007628550477490108	0.005195366766281913	1	2	0.023255343310425447
17	0	0.011582447516761232	0.0022060034304771563	0.001145914073803278	0.0025410497031551627	0.005689480309325636	0.003686963776958439	1	2	0.017373671275141847
18	2	0.011877885677928962	0.0021396598890356423	0.0012119259195005616	0.0026585809637901955	0.0058677189056025635	0.0038705068832907566	1	2	0.017816828516893445
19	3	0.01703922495047014	0.003998757487085558	0.0017424808419731804	0.003523732546367285	0.007774254075044115	0.005266213388340465	1	2	0.025558837425705208
20	8	0.031143651321845964	0.007284030651987625	0.00671782642551631	0.008511692657959083	0.00863010158638295	0.01522951908347539	1	2	0.04671547698276895
21	5	0.011701672401602864	0.002341360950020269	0.0011295489664781009	0.0025438519492917513	0.00568691053581274	0.0036734009157698535	1	2	0.017552508602404295
22	60	0.022796807224343477	0.00305054877355275	0.0021371952906503013	0.0051449970432096035	0.012464066116930822	0.007282192333859905	1	2	0.034195210836515215
23	29	0.027911724227660643	0.005817381418237413	0.00298317918396526	0.006750576176504579	0.01236058744895339	0.00973375536046984	1	2	0.041867586341490966
24	26	0.02996546061913291	0.003825164498103415	0.0031636339135094386	0.00764293353040343	0.015333728677116623	0.010806567443912873	1	2	0.044948190928699366
25	12	0.008689729202207855	0.003398223398004921	0.0012859718106506175	0.0018692752611149165	0.002136258732437401	0.0031552470717655327	1	2	0.013034593803311782
26	51	0.014790777648485118	0.0025689494017784756	0.001596036889615995	0.0037378401693817904	0.006887951187708858	0.005333877058997784	1	2	0.022186166472727677
27	3	0.020735206244456992	0.003056710553347131	0.002239587605076127	0.004878200010102693	0.010560708075931041	0.007117787615178818	1	2	0.03110280936668549
28	23	0.008491150937684648	0.002268737191588755	0.000843630013919048	0.0017783925159209574	0.0036003912162558874	0.0026220225298400055	1	2	0.012736726406526972
29	77	0.03000009986974494	0.003695299926907867	0.0035230414286645897	0.007933264695245064	0.014848493818927421	0.011456306123909655	1	2	0.04500014980461741
30	54	0.020628395454150666	0.0031559767750062536	0.002185850089930745	0.005064704929310239	0.010221863659903426	0.007250555019240984	1	2	0.030942593181225997
31	77	0.027775671517956475	0.0030769113506270364	0.0031368731124526918	0.00716044319301503	0.01440144386186172	0.010297316305467718	1	1	0.027775671517956475
32	86	0.03510012415661995	0.004610003027963776	0.0042698139059898985	0.008869254192094769	0.017351053030571512	0.013139068098084662	1	2	0.052650186234929924
33	36	0.01786196526544943	0.002605314842444929	0.0022276044462129184	0.004657461861677498	0.008371584115114081	0.00688506630789042	1	2	0.026792947898174144
34	91	0.03814121154648751	0.005501747913223703	0.005050050977597534	0.01022478849196368	0.0173646241637026	0.015274839469561211	1	2	0.05721181731973127
35	25	0.017496434280969933	0.002927113738792269	0.0016420826751778266	0.0038655387726050784	0.00906169909439476	0.0055076214477829035	1	2	0.0262446514214549
36	83	0.02120730648414869	0.004164533984290063	0.0026048250175794816	0.004901819579145571	0.009536127903133572	0.007506644596725053	1	2	0.03181095972622303
37	26	0.011528100242497591	0.002615723076981094	0.0014362375842360744	0.0028951481080733295	0.004580991473207094	0.0043313856923094035	1	2	0.017292150363746386
38	73	0.023278631734613902	0.007343091804014787	0.0030751593373946513	0.004933477804434065	0.007926902788770401	0.008008637141828713	1	2	0.03491794760192085
39	86	0.036908258531694514	0.005784128629250744	0.005427927663033433	0.00983145405375137	0.01586474818565897	0.0152593817167848	1	2	0.05536238779754177
40	83	0.02626705344424445	0.0033739807444605908	0.0029929363340818055	0.006673409314467016	0.013226727051235036	0.00966634564854882	1	2	0.039400580166366675
41	68	0.03235942022521968	0.0053327770988040495	0.004236969079839268	0.009068346544983959	0.013721327501592405	0.01330531562482323	1	2	0.04853913033782953
42	54	0.02201111671501833	0.003737805401850066	0.0025518922481405732	0.0055844777916657104	0.010136941273361977	0.008136370039806285	1	2	0.03301667507252749
43	90	0.03796293440241798	0.0047780945915227285	0.004660985746537474	0.01048407152067013	0.01803978254368765	0.015145057267207596	1	2	0.056944401603626967
44	5	0.012351127523389419	0.0023606930499690255	0.0012025414370833208	0.0026735509352535693	0.0061143421010835045	0.003876092372336888	1	2	0.018526691285084128
45	45	0.02303961689390635	0.005357624113302387	0.004115090361412739	0.005131825521126977	0.008435076898064246	0.009246915882539718	1	2	0.034559425340859526
46	46	0.022126095998153864	0.006096198578085076	0.0026431648998742727	0.004817744547446756	0.008568987972747756	0.007460909447321031	1	2	0.033189143997230795
47	0	0.01288890647184644	0.002197963762353662	0.0013631353305722316	0.002957378801656389	0.0063704285772641575	0.004320514132228621	1	2	0.01933335970776966
48	1	0.02976885375914222	0.014313288922475869	0.003986513684030347	0.004355770351022619	0.00711328080161338	0.00834228403505297	1	2	0.04465328063871333
49	81	0.03722481157885637	0.007961393600262214	0.005560763984318218	0.009493279307471182	0.014209374686804757	0.0150540432917894	1	2	0.05583721736828455
50	10	0.05177076213699069	0.009542185601475165	0.006242358614746993	0.010494218606422759	0.02549199931434577	0.016736577221169755	1	2	0.07765614320548603
51	10	0.02147947635087862	0.005684344619166567	0.003648704681821845	0.005513651057545504	0.006632775992344703	0.009162355739367349	1	2	0.03221921452631793
52	4	0.03844283149753593	0.018921796852123834	0.00458471320040945	0.005178349236495198	0.009757972208507444	0.009763062436904654	1	2	0.057664247246303896
53	12	0.03896530370390933	0.00790358526592961	0.004968084146022898	0.009048592236102507	0.017045042055854318	0.014016676382125406	1	2	0.058447955555864003
54	68	0.037993089721053946	0.00533327231661775	0.005518840181383521	0.010403423197574002	0.016737554025478676	0.015922263378957517	1	1	0.037993089721053946
55	3	0.005728558918474469	0.0018098450510548186	0.00042968904331610176	0.0010537642995620937	0.0024352605245414553	0.0014834533428781955	1	2	0.008592838377711704
56	10	0.008427880221576069	0.002714440314740392	0.0009553270145689737	0.0017751251441678571	0.002982987748098846	0.0027304521587368305	1	2	0.012641820332364103
57	26	0.010636695310474885	0.00199194126205972	0.001074520590852948	0.002362436192271119	0.005207797265291099	0.003436956783124066	1	2	0.01595504296571233
58	88	0.040277292605091636	0.0053311374580608415	0.0055321090902756866	0.011100180715036982	0.018313865341718125	0.016632289805312672	1	1	0.040277292605091636
59	44	0.028392318284402297	0.003775641672496811	0.003981395386036662	0.00740295741797124	0.013232323807897585	0.0113843528040079	1	1	0.028392318284402297
60	29	0.01451220387146529	0.0029455810619364695	0.0014473968036414736	0.003181372940822494	0.0069378530650648544	0.004628769744463967	1	2	0.021768305807197935
61	54	0.021383245289734065	0.003196112611628766	0.0025165361523172883	0.005441239788880917	0.010229356736907093	0.007957775941198206	1	2	0.0320748679346011
62	26	0.011970138918286263	0.002393925073919605	0.001299072467871448	0.002831335491941827	0.0054458058845533825	0.004130407959813276	1	2	0.017955208377429394
63	53	0.021249841346749107	0.0042208345693320265	0.002929639035597687	0.005362362535781581	0.008737005206037813	0.008292001571379269	1	2	0.03187476202012366
64	26	0.04342795782971126	0.006211099953494131	0.004852532044843962	0.010167802421084577	0.02219652341028859	0.015020334465928542	1	2	0.06514193674456689
65	49	0.04643365221665955	0.004754499246404882	0.0051603359791367875	0.011501516298414343	0.025017300692703536	0.01666185227755113	1	1	0.04643365221665955
66	70	0.04151084510733825	0.0059475652089481836	0.005552606461522836	0.010965131707079351	0.01904554172978788	0.01651773816860218	1	2	0.062266267661007374
67	60	0.016189758622409182	0.004167783127196795	0.0023276889746058874	0.003732854555313478	0.005961431965293023	0.0060605435299193626	1	2	0.024284637933613774
68	48	0.012120777702930121	0.0027577434707660164	0.0016573556696279246	0.0031100884629002984	0.004595590099635883	0.004767444132528222	1	2	0.01818116655439518
69	62	0.03192748703282472	0.0041392773669695765	0.004241895003337451	0.008682877238022699	0.014863437424494993	0.01292477224136015	1	1	0.03192748703282472
70	54	0.019841196771235525	0.0036578923584797214	0.0025136500147583157	0.005166199865787574	0.008503454532209914	0.00767984988054589	1	2	0.029761795156853288
71	19	0.015243073608753663	0.002607116033749968	0.0015250012817716908	0.003408385218360975	0.0077025710748710305	0.004933386500132665	1	2	0.022864610413130496
72	18	0.016858339745096193	0.0027628285722814294	0.0020945229989489393	0.003939822498839576	0.008061165675026247	0.006034345497788517	1	2	0.02528750961764429
73	11	0.014046518933106817	0.0026531511814008903	0.001503135476543414	0.003119653337913622	0.0067705789372488915	0.004622788814457035	1	2	0.021069778399660226
74	20	0.01245585361349399	0.002553357171440922	0.0011075666089859439	0.0027918332521080923	0.006003096580959034	0.003899399861094034	1	2	0.018683780420240985
75	27	0.020450270860850866	0.003250416646403111	0.0022522946208175403	0.0050107886582662865	0.009936770935363928	0.007263083279083827	1	2	0.030675406291276297
76	27	0.017722921316386333	0.002906969058184638	0.0018392226967637148	0.004224882819805428	0.00875184674163255	0.006064105516569145	1	2	0.026584381974579498
77	14	0.0164602737898142	0.0028151485452139117	0.0017754073620138144	0.004178132702652861	0.007691585179933614	0.005953540064666675	1	2	0.024690410684721303
78	8	0.016979859003962035	0.002856447894634845	0.0018110173360385024	0.003858505527952222	0.008453888245336464	0.005669522863990726	1	2	0.02546978850594305
79	14	0.013919339653162562	0.0028612897768965106	0.00147439758773962	0.003285528522591116	0.006298123765935315	0.004759926110330736	1	2	0.020879009479743842
80	62	0.015176387115746592	0.002807690261630656	0.0017196709707107737	0.0036110029814508554	0.007038022901954308	0.005330673952161628	1	2	0.02276458067361989
81	30	0.01906635215338575	0.00324549185639262	0.002611846908800931	0.005005455200378685	0.008203558187813516	0.007617302109179614	1	2	0.028599528230078625
82	41	0.01708165897173412	0.00413317238533778	0.0025608614279525373	0.004327161141120982	0.006060464017322822	0.006888022569073518	1	2	0.025622488457601178
83	27	0.009516495753231232	0.0025623523325398597	0.0012590962417569466	0.0022203530279894953	0.0034746941509449306	0.003479449269746442	1	2	0.014274743629846848
84	43	0.02392975124892485	0.0035228255052203437	0.002959518722366151	0.00627908593030288	0.011168321091035471	0.009238604652669033	1	2	0.03589462687338727
85	53	0.02389390579545646	0.005307721555844869	0.0031587602274845226	0.005663119212788795	0.009764304799338272	0.00882187944027332	1	2	0.03584085869318469
86	50	0.01009087757048595	0.0037837989924497492	0.0010346056476336987	0.001775730788248232	0.0034967421421542694	0.0028103364358819318	1	2	0.015136316355728926
87	38	0.017318507318860477	0.0025284951589225036	0.0017969011795738177	0.0040072145445544435	0.008985896435809713	0.005804115724128259	1	2	0.025977760978290715
