,gt,ms_total,0.185698232572245,512-256,256-128,128-64,64-32,32-16,frac
0,97,0.133883527209947,0.720973621317911,0.033120932788855,0.027951299101406,0.020241257847546,0.014487787231667,0.010445643284324,0.090316951136769
1,89,0.086177553859384,0.464073096796209,0.018092998869106,0.015829474080189,0.012166991809329,0.009432928403311,0.007161180032065,0.060923374958214
2,98,0.185698232572245,1,0.041629249720538,0.034129975781721,0.025873766089959,0.020780549014326,0.017333794189582,0.126735188662126
3,98,0.141567100303238,0.762350283803384,0.037527528469608,0.027523446076384,0.020379427021187,0.015191800537879,0.01121744175475,0.09282213007888
4,44,0.073195376213032,0.394163020289144,0.017397303208227,0.012138788476873,0.009731200537967,0.008456746679159,0.007741065927657,0.048057007077148
5,8,0.060332857815828,0.324897318515703,0.007733512518983,0.009122765739376,0.009325569713908,0.009204245547314,0.009122252597269,0.043477092699576
6,19,0.031935301303354,0.171974180157745,0.007777673912202,0.00418830466898,0.003422666336507,0.003073886032226,0.002766581096522,0.02139104629463
7,8,0.029356065325407,0.158084785831154,0.005133913106138,0.003995103467348,0.003590438823243,0.003328955991878,0.003102606807094,0.021119545412175
8,2,0.027425695502982,0.147689588226492,0.004695806768359,0.004053180154886,0.003718575877913,0.003670180840695,0.003627170052793,0.01910271868183
9,28,0.056755055013337,0.305630561083865,0.0122961536646,0.008475446011678,0.006970790228144,0.006137079791978,0.005594384537904,0.038864516810833
10,58,0.043214840974607,0.232715413474895,0.016040905326953,0.008214235177641,0.004900949021899,0.003208482857653,0.001997200758328,0.025176734889327
11,14,0.014770390055655,0.079539744945655,0.003157335093699,0.001776405307128,0.001783863670715,0.001755341560849,0.0016933783059,0.009919676656056
12,41,0.068206286497719,0.367296368699599,0.013608591122511,0.010384026813517,0.00787958449847,0.006420721100429,0.005443929933315,0.049153765441894
13,17,0.128191579497735,0.690322022574245,0.029296502758076,0.023949867921969,0.017984536887906,0.014075796622996,0.010677629661108,0.088217447078551
14,15,0.031451281952003,0.1693676968076,0.009177691190635,0.003493713807671,0.003516347885612,0.003229439380817,0.002830575414761,0.019443015346607
15,32,0.073416881760151,0.395355845573752,0.013439234186027,0.011107704956592,0.008071732441748,0.006297160051343,0.005179740425602,0.054797907148522
16,45,0.04924538583656,0.265190385252596,0.009793143318578,0.009371950278939,0.0075538821238,0.00577142695687,0.004416726290835,0.035035516227148
17,0,0.043367360219124,0.233536741940998,0.007087196744785,0.00667680539599,0.005776742975152,0.005072201526606,0.004503872917432,0.031776290556907
18,2,0.05474261586977,0.294793413547827,0.007765241914425,0.007884790002798,0.007585880971799,0.007386823774336,0.007221934639318,0.039755439316027
19,3,0.077630744479068,0.418047837094337,0.012676030558452,0.010995598482919,0.010648103393033,0.010378531151362,0.010092199067814,0.054862514852803
20,8,0.095168063787803,0.51248771983211,0.033877713483788,0.012385178201179,0.006963174980337,0.006427222908343,0.006661344287386,0.054629006016628
21,5,0.048299375413441,0.260096042619311,0.006508938414312,0.006864594876441,0.006502550630918,0.006143365645189,0.005767215003124,0.036023221996006
22,60,0.082973737388804,0.446820286006346,0.012660930551277,0.014035495212987,0.012658259903532,0.010729308317815,0.008767113072654,0.061545693764873
23,29,0.088737534286653,0.477858798425183,0.022289217205956,0.018777402441952,0.012865811445687,0.008892198854581,0.006616195306356,0.059832121774342
24,26,0.092241718967297,0.496729116317307,0.019599034546683,0.019652033051785,0.013673713823333,0.00925073601512,0.006590816283997,0.066051868136618
25,12,0.015630251063026,0.084170166008152,0.006749286911352,0.002589404775599,0.000871467740931,0.000212123505781,0.000328607425568,0.008552356726107
26,51,0.045596906636646,0.245543029704961,0.006359516426185,0.00662091301172,0.005759326001122,0.005427108204758,0.005310943035934,0.033926447174527
27,3,0.049819180787381,0.268280317466128,0.006631579466861,0.007347497245888,0.007128936592844,0.006960041441511,0.006810006002472,0.036377595318048
28,23,0.025983102969871,0.13992111077181,0.004281518384029,0.003903591315887,0.003386509994228,0.003033873624082,0.002688513505409,0.019013071080433
29,77,0.104126663615959,0.560730504397499,0.018954146894629,0.017669983117273,0.013842753354147,0.011221550245507,0.009448983700675,0.075723533020655
30,54,0.071901829379083,0.387197165977926,0.010881967169841,0.010570440057991,0.008511173794767,0.007007721268187,0.00598139129586,0.055038470913382
31,77,0.101812524628122,0.548268678801305,0.019124239690525,0.018536774807424,0.014393975406083,0.011072631796837,0.008767759375811,0.073920525561786
32,86,0.125251134305961,0.674487487419851,0.029098001528123,0.024685075081973,0.018719408055592,0.014068945046391,0.01048235411083,0.085670778667008
33,36,0.06824447910797,0.367502038994471,0.012789984827454,0.01165549429718,0.009760184951553,0.008677938031311,0.00790714888683,0.047547345393686
34,91,0.137245879743501,0.739080161627853,0.031635535073167,0.026853242451041,0.020536122521847,0.015642363644925,0.012025047621273,0.093585297049062
35,25,0.071444450900698,0.384734145883178,0.010374450055913,0.010587762737671,0.009891427590462,0.009029465046674,0.008327213697353,0.052742787147432
36,83,0.080639245841945,0.43424886023389,0.015309797796469,0.012049424333586,0.01026438319402,0.009065163452448,0.008041652398358,0.057287795647119
37,26,0.049640060226231,0.267315738758679,0.009094352781368,0.008245928266188,0.007102945052875,0.006667218408091,0.006517817084903,0.03402789035996
38,73,0.06558515186275,0.353181346716556,0.022508204314792,0.011422347910756,0.007382855475277,0.005013024876137,0.003873043289299,0.039203904258659
39,86,0.113254152856686,0.609882772107834,0.031653589071919,0.022531188940176,0.014941253027292,0.010496527586015,0.007806988049341,0.073793575735426
40,83,0.092135150925915,0.4961552387962,0.017106730223616,0.016546920431952,0.013130349571511,0.010577056405861,0.008844336796576,0.066184083905723
41,68,0.091097964721195,0.490569907205516,0.027005507965776,0.019965089609245,0.011395758005029,0.006440347015951,0.004387529036081,0.059704927719338
42,54,0.070275186803709,0.378437564161356,0.015035315103568,0.012757554960367,0.008940180719517,0.006402868814883,0.005006704188174,0.050233167511967
43,90,0.11911098923795,0.641422309669052,0.026079163294387,0.023801805807966,0.017592871649187,0.013477107266359,0.010796436818809,0.082235389124754
44,5,0.057539567437442,0.309855223931961,0.0076677923931,0.008512720420578,0.008412288455189,0.008281407795796,0.008009546972093,0.041862228072249
