	gt	ms_total	1.851749424574581	3.4289759314122916	6.349604207872799	11.757875938204792	21.77264000279003	40.317473596635956	74.65785853287149	138.2476465782152	256.0	frac	local_max	local_min	2parts
0	36	0.7030058786807822	0.033314374378241814	0.027823473734659588	0.05042997612846772	0.06728784531217766	0.0984031278537494	0.10304094355025398	0.11597360159965492	0.11480523166191677	0.09192730446166043	0.57776419984088	2	2	1.4060117573615645
1	42	0.7297281676171244	0.029656784395200503	0.012868821035759169	0.021322562255660878	0.03058878882194562	0.05855022429836468	0.09591023305197754	0.08679668283534114	0.20531270464607682	0.18872136627679814	0.5113500169451258	3	3	2.1891845028513734
2	33	0.5888370408457058	0.022784632611716822	0.024275394234070033	0.03483454120677814	0.0474903501197276	0.06939229079872843	0.07028153256958701	0.14461937696108718	0.1039994790123	0.0711594433317106	0.49489296490227835	2	1	1.1776740816914115
3	45	0.4858688621450056	0.043067893389982896	0.03505789201919214	0.030686255284243347	0.038305865172464384	0.07134048462193429	0.039078847623683785	0.033877540293439326	0.08400952667902137	0.11044455706104406	0.3323564116939786	2	3	0.9717377242900112
4	59	0.42841554092237966	0.01985269161045128	0.016136055088469246	0.022594552126826612	0.02409754686388353	0.03621985744687283	0.0415846937648448	0.025950905177818544	0.12951184426975945	0.1124673945734533	0.2960954547384751	3	3	1.285246622767139
5	59	0.7000966474520544	0.04245420136840884	0.024454550869479997	0.03630904800152697	0.12496535654074944	0.0952675425162372	0.08485995371070751	0.007463446293202233	0.14365963945430868	0.14066290869743348	0.516979537386212	3	3	2.100289942356163
6	46	0.4831033849427824	0.04170671335437252	0.004825385434424905	0.00970656549820111	0.007355830139304685	0.007692333546470458	0.12302971476624991	0.0909549893643446	0.11306327657351044	0.08476857626590371	0.3566280953225061	4	4	1.9324135397711295
7	52	0.49027331542913233	0.04757604019665965	0.01286893948465792	0.050604901048720355	0.09458362444045419	0.030828477442136702	0.06304362897127327	0.1023332295778099	0.021921187991304922	0.06651328627611544	0.3761839889563573	3	4	1.470819946287397
8	11	0.356730453746882	0.027174160158350443	0.020554681699224926	0.03361503968989521	0.011724178543991933	0.04757954911987333	0.046638358004671907	0.05215610139319343	0.011218624627248725	0.1060697605104321	0.22348653307809946	4	5	1.426921814987528
9	33	0.6571917428377543	0.04298569488076433	0.05163352775447713	0.0441079455063326	0.08156817075564944	0.15121262909862856	0.1230565924988971	0.06203286879846628	0.02794513879188178	0.07264917475265709	0.5415568732043329	3	3	1.9715752285132628
10	19	0.6829898827327552	0.011478009604015856	0.025799124754105653	0.04791971268170041	0.05362903127803277	0.09989107852577905	0.12981415112177136	0.11648850588277114	0.1773408428600222	0.020629426024556738	0.6508824471041825	3	2	2.0489696481982653
11	19	0.6148089394586508	0.050620278121734176	0.040366588279522504	0.05266147245761124	0.018208110217488603	0.05092861711177085	0.05624175444563132	0.13552623771732553	0.0847571282237582	0.12549875288380835	0.43868990845310823	3	4	1.8444268183759522
12	22	0.7782853706676368	0.05775712389495308	0.002599475995768253	0.005485506556386521	0.00570105183403774	0.02529772535589699	0.0815527085590021	0.0980127792246181	0.23071306665525468	0.2711659325917194	0.4493623141809643	1	2	0.7782853706676368
13	47	0.5188052761793953	0.009885952332268765	0.003245790716149256	0.006627827994616251	0.0027010867410954447	0.0028710968381810424	0.02467562854926416	0.051122930110711944	0.17575973318137333	0.24191522971573515	0.2670040941313914	2	3	1.0376105523587906
