	gt	ms_total	1.851749424574581	3.4289759314122916	6.349604207872799	11.757875938204792	21.77264000279003	40.317473596635956	74.65785853287149	138.2476465782152	256.0	frac	local_max	local_min	2parts
0	68	0.3174590195229507	0.005084330409036519	0.054209621233238234	0.017343818601044905	0.035075433597147175	0.04254136634193479	0.02356828558780613	0.022507499019880604	0.07458325858987194	0.042545406142990405	0.2698292829709238	4	3	1.2698360780918028
1	20	0.5069261829474678	0.0374534664943882	0.021189415688313715	0.0313099499109615	0.024892924411728183	0.016519588631521198	0.05558411498199273	0.027229598646496884	0.16912871407360755	0.12361841010845787	0.3458543063446218	4	4	2.0277047317898713
2	43	0.3903315526541775	0.025116602000143554	0.011844738092463142	0.016995607475310186	0.003463284290701389	0.026310097501824045	0.04811343705568149	0.10742132565205895	0.10930886349363048	0.04175759709236426	0.3234573535616697	3	3	1.1709946579625325
3	8	0.5176555443729213	0.006250387891030253	0.011417489362750381	0.0228762690266211	0.005316570941474171	0.01617619847079397	0.07151547760609855	0.22431734349021232	0.11928595451511725	0.04049985306882329	0.4709053034130677	3	2	1.5529666331187637
4	17	0.6922820704291803	0.009320633239984636	0.004598651614463968	0.00827629061578819	0.011134931566751183	0.0515241305512581	0.18726683395920474	0.206117468597066	0.055956062328345504	0.158087067956318	0.5248743692328777	2	3	1.3845641408583607
5	37	0.49900029772466514	0.04214603409049719	0.0215133306833006	0.02090418557442515	0.047782444729764555	0.014476003365261399	0.09180099220959058	0.07801201694365695	0.05568167952631834	0.1266836106018504	0.3301706530323175	3	4	1.4970008931739955
6	0	0.5178667316404355	0.015630989269947045	0.01097244600783216	0.041350459827680486	0.08042594768637394	0.0313673985090857	0.03725554727334811	0.13671750163692414	0.12499672688327741	0.03914971454596645	0.4630860278245221	3	3	1.5536001949213065
7	23	0.4127587315244362	0.0317096922949026	0.011096507755812092	0.024621823114358364	0.01968015334953257	0.005305748846893535	0.0764941037328934	0.06978097302789865	0.13211679787800146	0.041952931524143484	0.3390961077053901	4	4	1.6510349260977448
8	20	0.6301863554574403	0.0519423416944565	0.0023278297934660403	0.028523096061911352	0.02639046190361631	0.0651445301813187	0.03037697797784261	0.17416588513755052	0.15161536996328218	0.09969986274399606	0.4785441510189877	4	4	2.520745421829761
9	27	0.690795246803946	0.02649598513414121	0.029702459632319957	0.04014177907406521	0.04945714094684423	0.02747490890827807	0.06886400839836357	0.14497916269395736	0.21304065496223057	0.09063914705374579	0.573660114616059	3	2	2.072385740411838
