	gt	ms_total	512-256	256-128	128-64	64-32	32-16	frac
0	44	0.04932365126864106	0.017403752063575466	0.004389907617379113	0.003156001333225479	0.0027199393916916997	0.0024724265322730653	0.029447472672792525
1	57	0.07695804120353752	0.02102681091801737	0.010890380513107407	0.007845540615533048	0.006143395608942209	0.00499698689611461	0.05093424338940555
2	61	0.03773003367763357	0.02105893255089029	0.003435376235917749	0.00048379214845942626	0.0008636647733714895	0.0016161701067130855	0.015054931020030193
3	46	0.09176868914748564	0.027823427076221964	0.011799413618246353	0.00903338741504231	0.00742676743696234	0.0063705181352317125	0.05757474393603195
4	40	0.08494169798281101	0.023451998814609715	0.011619649740820115	0.009176575599981229	0.007338595891280447	0.006111963254121028	0.05537773591408027
5	50	0.117061514591769	0.050691990447595474	0.014613923203481509	0.00922348759347188	0.00615746145242424	0.004248314621966295	0.062121209522207226
6	49	0.0563786836558055	0.020149632376480618	0.006304221977531204	0.0041543717348124206	0.0034377722376486065	0.0031145902437806072	0.033114461035544274
7	49	0.10534389690388207	0.05379914865893768	0.01506755886957738	0.011635688697347383	0.010713191525462462	0.00984092140048589	0.0417038268444585
8	40	0.050222936822009255	0.02071726268001433	0.006009476914193108	0.0036881937853584976	0.0025305308418661185	0.0016884775508435247	0.0278171965911514
9	68	0.1178889322209241	0.044664144817689946	0.014066033318931399	0.00974965610733085	0.007817237038155005	0.006492872405738984	0.06673191499749517
10	26	0.09262368008347634	0.04650159336692277	0.014364294938364776	0.007274558885760854	0.005379940108446488	0.004318662096583438	0.04180342461997013
11	45	0.09733023007252452	0.14623446919516608	0.05395694717679668	0.03612477021431464	0.025450094580200734	0.018289796243593025	-0.06719403536623458
12	42	0.06466164632978097	0.02163541761276541	0.011657490592593172	0.005968905001028234	0.004016118950650608	0.0032082832557595556	0.039817945461256
13	15	0.02202112065316	0.0035957729698523552	0.0010884457775660306	0.0009052074569030452	0.0009359944225443621	0.0009361527557670662	0.01748919492754058
14	70	0.1534985585647038	0.04318274636481471	0.030532648024316357	0.02283216630736325	0.017809562942078323	0.0138731140481639	0.0964426981517252
15	34	0.0353926775315347	0.010233692710384297	0.0044752974487121296	0.0034967670448056622	0.0032079340060164776	0.0031950438783899483	0.021963940942760458
16	43	0.05488200088734628	0.021421593215055903	0.005873837912155548	0.0036056643481826986	0.0027939104568984307	0.0024139513892135413	0.031046456283076833
17	18	0.07469894685212611	0.01687361051483653	0.011645794947501578	0.008273889837481826	0.006857517887260918	0.006269422830041766	0.05155591350724781
18	85	0.11225891748737324	0.03697329690953353	0.01748444261892902	0.011556381685679212	0.008935678602178065	0.007544664615974557	0.06774095596186516
19	68	0.07384226011058279	0.02827344669575518	0.010205198219683066	0.0069328658682510915	0.005269789744947855	0.004285397023076003	0.0412834163917516
20	50	0.09905073925320013	0.04318990933777021	0.012085290405039188	0.006628312264511097	0.004517187806549914	0.0035710778216137243	0.052289752093816186
21	36	0.16771833640627618	0.0744799499495082	0.018055257315836976	0.01130436544964211	0.008432178880315399	0.006770566520146945	0.08646781993662103
22	22	0.041012945250216024	0.015155999526192369	0.004667674911832169	0.002484493829661065	0.0014861942934888484	0.0009960068178113638	0.02486093890621229
23	56	0.08925981167822068	0.037846302057492266	0.014146926078004048	0.007465559683923846	0.005158183578238054	0.0038818760197956046	0.047531633600932814
24	77	0.2631975645392052	0.13755463158244907	0.04606306671375152	0.021185207751939043	0.011040090645883363	0.005668060002607439	0.11997487295414866
25	74	0.1446356446075617	0.05478840034390861	0.022565987889720685	0.013025413523201215	0.008939475615270675	0.006657160964184922	0.08319008329946817
26	58	0.12083618376622408	0.04997951419187288	0.019581801140508392	0.011344327095300543	0.00814151491171102	0.006303946222567516	0.06455272335178369
27	20	0.018892164067576697	0.007159548620372633	0.0021813442777582747	0.001015516180714098	0.0004984758711575223	0.00027677708043426447	0.0114558383667698
28	22	0.061512095380755506	0.022131604607482112	0.008065997698846557	0.004953480996356146	0.003880084643424586	0.0029879338079995795	0.03639255696527381
29	65	0.11463231975280519	0.038542599448093476	0.015815169097623635	0.011773760804013116	0.009690293105794952	0.008245137769238837	0.06784458253547287
30	75	0.17894679890022025	0.06915777286911315	0.022836120874290072	0.015822158598967795	0.012389743901821343	0.010174072888333979	0.09961495314277312
31	87	0.17754655711099626	0.06665985773372948	0.028605650764801555	0.01633111260021399	0.009458589169824038	0.0049172901606383684	0.10596940921662841
32	78	0.07240511650724153	0.02260893898321632	0.010640519630663196	0.007503155886497387	0.005862647841051328	0.004738050490618909	0.0450581270334063
33	92	0.22298849124766568	0.13210190775591774	0.041946018594735776	0.01984989957585531	0.013434643393410675	0.00982731890378041	0.08105926458796753
34	36	0.1474426907169819	0.08064565796524134	0.03110645192141547	0.014998314179939888	0.009880499682567205	0.007330953488944021	0.059466079262796546
35	47	0.11623341862308163	0.0237869215872205	0.017412098984079225	0.014915524785892337	0.013886750792562227	0.013388693482901295	0.07905780355295984
36	87	0.11413118321096592	0.03616517719356305	0.01921577381653211	0.013505410751524609	0.010411021427102832	0.008195101721940226	0.06977090429546265
37	36	0.051311497093912306	0.01858738880332291	0.0051373754044256635	0.003310628334454885	0.0025457266677877378	0.0020904223637908115	0.030633685926798583
38	26	0.11075506971344509	0.04484503143039577	0.014586553699544293	0.010908908246435117	0.00916574121197519	0.007947409230828248	0.057962629052221076
39	69	0.05393402181915649	0.02713346713031624	0.005526602787018795	0.002906987694433563	0.001904701458843173	0.0012711450140518313	0.025529409674788422
40	73	0.07103677782793107	0.028648386964614875	0.007416413276520765	0.005864164400806578	0.005361154300004281	0.005166806232228443	0.037221584631087754
41	82	0.11423395226987336	0.05130001053989459	0.017227565266786427	0.0121157012734665	0.010021793524180018	0.008585185498585913	0.054348756231392854
42	44	0.16681532618908995	0.056670502797983316	0.035095059670720956	0.017025797235309437	0.010158542237258612	0.006827923646716174	0.10331689974439046
43	46	0.16664359518784108	0.07804389544749919	0.03452243615757198	0.022106569840219262	0.01757663194964331	0.014227821006827578	0.07437187873351431
44	25	0.05507079124964419	0.009881204856087844	0.00811817091846092	0.008021548086446454	0.0074632765874179776	0.0068799347746741745	0.03830965161888217
45	68	0.07237435300157449	0.027647476180125884	0.007897701980044263	0.005142875460692804	0.003963463026039878	0.0033624972560129585	0.04136437956543565
46	10	0.036494495076584026	0.10451043080552969	0.05600213365996644	0.026249261982930188	0.015159197036618055	0.011247626637921483	-0.07926356236686713
